country,flag_source
"Afghanistan",https://api.fifa.com/api/v3/picture/flags-sq-2/AFG
"Albania",https://api.fifa.com/api/v3/picture/flags-sq-2/ALB
"Algeria",https://api.fifa.com/api/v3/picture/flags-sq-2/ALG
"American Samoa",https://api.fifa.com/api/v3/picture/flags-sq-2/ASA
"Andorra",https://api.fifa.com/api/v3/picture/flags-sq-2/AND
"Angola",https://api.fifa.com/api/v3/picture/flags-sq-2/ANG
"Anguilla",https://api.fifa.com/api/v3/picture/flags-sq-2/AIA
"Antigua and Barbuda",https://api.fifa.com/api/v3/picture/flags-sq-2/ATG
"Argentina",https://api.fifa.com/api/v3/picture/flags-sq-2/ARG
"Armenia",https://api.fifa.com/api/v3/picture/flags-sq-2/ARM
"Aruba",https://api.fifa.com/api/v3/picture/flags-sq-2/ARU
"Australia",https://api.fifa.com/api/v3/picture/flags-sq-2/AUS
"Austria",https://api.fifa.com/api/v3/picture/flags-sq-2/AUT
"Azerbaijan",https://api.fifa.com/api/v3/picture/flags-sq-2/AZE
"Bahamas",https://api.fifa.com/api/v3/picture/flags-sq-2/BAH
"Bahrain",https://api.fifa.com/api/v3/picture/flags-sq-2/BHR
"Bangladesh",https://api.fifa.com/api/v3/picture/flags-sq-2/BAN
"Barbados",https://api.fifa.com/api/v3/picture/flags-sq-2/BRB
"Belarus",https://api.fifa.com/api/v3/picture/flags-sq-2/BLR
"Belgium",https://api.fifa.com/api/v3/picture/flags-sq-2/BEL
"Belize",https://api.fifa.com/api/v3/picture/flags-sq-2/BLZ
"Benin",https://api.fifa.com/api/v3/picture/flags-sq-2/BEN
"Bermuda",https://api.fifa.com/api/v3/picture/flags-sq-2/BER
"Bhutan",https://api.fifa.com/api/v3/picture/flags-sq-2/BHU
"Bolivia",https://api.fifa.com/api/v3/picture/flags-sq-2/BOL
"Bosnia and Herzegovina",https://api.fifa.com/api/v3/picture/flags-sq-2/BIH
"Botswana",https://api.fifa.com/api/v3/picture/flags-sq-2/BOT
"Brazil",https://api.fifa.com/api/v3/picture/flags-sq-2/BRA
"British Virgin Islands",https://api.fifa.com/api/v3/picture/flags-sq-2/VGB
"Brunei Darussalam",https://api.fifa.com/api/v3/picture/flags-sq-2/BRU
"Bulgaria",https://api.fifa.com/api/v3/picture/flags-sq-2/BUL
"Burkina Faso",https://api.fifa.com/api/v3/picture/flags-sq-2/BFA
"Burundi",https://api.fifa.com/api/v3/picture/flags-sq-2/BDI
"Cabo Verde",https://api.fifa.com/api/v3/picture/flags-sq-2/CPV
"Cambodia",https://api.fifa.com/api/v3/picture/flags-sq-2/CAM
"Cameroon",https://api.fifa.com/api/v3/picture/flags-sq-2/CMR
"Canada",https://api.fifa.com/api/v3/picture/flags-sq-2/CAN
"Cayman Islands",https://api.fifa.com/api/v3/picture/flags-sq-2/CAY
"Central African Republic",https://api.fifa.com/api/v3/picture/flags-sq-2/CTA
"Chad",https://api.fifa.com/api/v3/picture/flags-sq-2/CHA
"Chile",https://api.fifa.com/api/v3/picture/flags-sq-2/CHI
"China PR",https://api.fifa.com/api/v3/picture/flags-sq-2/CHN
"Chinese Taipei",https://api.fifa.com/api/v3/picture/flags-sq-2/TPE
"Colombia",https://api.fifa.com/api/v3/picture/flags-sq-2/COL
"Comoros",https://api.fifa.com/api/v3/picture/flags-sq-2/COM
"Congo",https://api.fifa.com/api/v3/picture/flags-sq-2/CGO
"Congo DR",https://api.fifa.com/api/v3/picture/flags-sq-2/COD
"Cook Islands",https://api.fifa.com/api/v3/picture/flags-sq-2/COK
"Costa Rica",https://api.fifa.com/api/v3/picture/flags-sq-2/CRC
"Côte d'Ivoire",https://api.fifa.com/api/v3/picture/flags-sq-2/CIV
"Croatia",https://api.fifa.com/api/v3/picture/flags-sq-2/CRO
"Cuba",https://api.fifa.com/api/v3/picture/flags-sq-2/CUB
"Curaçao",https://api.fifa.com/api/v3/picture/flags-sq-2/CUW
"Cyprus",https://api.fifa.com/api/v3/picture/flags-sq-2/CYP
"Czechia",https://api.fifa.com/api/v3/picture/flags-sq-2/CZE
"Denmark",https://api.fifa.com/api/v3/picture/flags-sq-2/DEN
"Djibouti",https://api.fifa.com/api/v3/picture/flags-sq-2/DJI
"Dominica",https://api.fifa.com/api/v3/picture/flags-sq-2/DMA
"Dominican Republic",https://api.fifa.com/api/v3/picture/flags-sq-2/DOM
"Ecuador",https://api.fifa.com/api/v3/picture/flags-sq-2/ECU
"Egypt",https://api.fifa.com/api/v3/picture/flags-sq-2/EGY
"El Salvador",https://api.fifa.com/api/v3/picture/flags-sq-2/SLV
"England",https://api.fifa.com/api/v3/picture/flags-sq-2/ENG
"Equatorial Guinea",https://api.fifa.com/api/v3/picture/flags-sq-2/EQG
"Eritrea",https://api.fifa.com/api/v3/picture/flags-sq-2/ERI
"Estonia",https://api.fifa.com/api/v3/picture/flags-sq-2/EST
"Eswatini",https://api.fifa.com/api/v3/picture/flags-sq-2/SWZ
"Ethiopia",https://api.fifa.com/api/v3/picture/flags-sq-2/ETH
"Faroe Islands",https://api.fifa.com/api/v3/picture/flags-sq-2/FRO
"Fiji",https://api.fifa.com/api/v3/picture/flags-sq-2/FIJ
"Finland",https://api.fifa.com/api/v3/picture/flags-sq-2/FIN
"France",https://api.fifa.com/api/v3/picture/flags-sq-2/FRA
"Gabon",https://api.fifa.com/api/v3/picture/flags-sq-2/GAB
"Georgia",https://api.fifa.com/api/v3/picture/flags-sq-2/GEO
"Germany",https://api.fifa.com/api/v3/picture/flags-sq-2/GER
"Ghana",https://api.fifa.com/api/v3/picture/flags-sq-2/GHA
"Gibraltar",https://api.fifa.com/api/v3/picture/flags-sq-2/GIB
"Greece",https://api.fifa.com/api/v3/picture/flags-sq-2/GRE
"Grenada",https://api.fifa.com/api/v3/picture/flags-sq-2/GRN
"Guam",https://api.fifa.com/api/v3/picture/flags-sq-2/GUM
"Guatemala",https://api.fifa.com/api/v3/picture/flags-sq-2/GUA
"Guinea",https://api.fifa.com/api/v3/picture/flags-sq-2/GUI
"Guinea-Bissau",https://api.fifa.com/api/v3/picture/flags-sq-2/GNB
"Guyana",https://api.fifa.com/api/v3/picture/flags-sq-2/GUY
"Haiti",https://api.fifa.com/api/v3/picture/flags-sq-2/HAI
"Honduras",https://api.fifa.com/api/v3/picture/flags-sq-2/HON
"Hong Kong, China",https://api.fifa.com/api/v3/picture/flags-sq-2/HKG
"Hungary",https://api.fifa.com/api/v3/picture/flags-sq-2/HUN
"Iceland",https://api.fifa.com/api/v3/picture/flags-sq-2/ISL
"India",https://api.fifa.com/api/v3/picture/flags-sq-2/IND
"Indonesia",https://api.fifa.com/api/v3/picture/flags-sq-2/IDN
"IR Iran",https://api.fifa.com/api/v3/picture/flags-sq-2/IRN
"Iraq",https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ
"Israel",https://api.fifa.com/api/v3/picture/flags-sq-2/ISR
"Italy",https://api.fifa.com/api/v3/picture/flags-sq-2/ITA
"Jamaica",https://api.fifa.com/api/v3/picture/flags-sq-2/JAM
"Japan",https://api.fifa.com/api/v3/picture/flags-sq-2/JPN
"Jordan",https://api.fifa.com/api/v3/picture/flags-sq-2/JOR
"Kazakhstan",https://api.fifa.com/api/v3/picture/flags-sq-2/KAZ
"Kenya",https://api.fifa.com/api/v3/picture/flags-sq-2/KEN
"Korea DPR",https://api.fifa.com/api/v3/picture/flags-sq-2/PRK
"Korea Republic",https://api.fifa.com/api/v3/picture/flags-sq-2/KOR
"Kosovo",https://api.fifa.com/api/v3/picture/flags-sq-2/KOS
"Kuwait",https://api.fifa.com/api/v3/picture/flags-sq-2/KUW
"Kyrgyz Republic",https://api.fifa.com/api/v3/picture/flags-sq-2/KGZ
"Laos",https://api.fifa.com/api/v3/picture/flags-sq-2/LAO
"Latvia",https://api.fifa.com/api/v3/picture/flags-sq-2/LVA
"Lebanon",https://api.fifa.com/api/v3/picture/flags-sq-2/LBN
"Lesotho",https://api.fifa.com/api/v3/picture/flags-sq-2/LES
"Liberia",https://api.fifa.com/api/v3/picture/flags-sq-2/LBR
"Libya",https://api.fifa.com/api/v3/picture/flags-sq-2/LBY
"Liechtenstein",https://api.fifa.com/api/v3/picture/flags-sq-2/LIE
"Lithuania",https://api.fifa.com/api/v3/picture/flags-sq-2/LTU
"Luxembourg",https://api.fifa.com/api/v3/picture/flags-sq-2/LUX
"Macau",https://api.fifa.com/api/v3/picture/flags-sq-2/MAC
"Madagascar",https://api.fifa.com/api/v3/picture/flags-sq-2/MAD
"Malawi",https://api.fifa.com/api/v3/picture/flags-sq-2/MWI
"Malaysia",https://api.fifa.com/api/v3/picture/flags-sq-2/MAS
"Maldives",https://api.fifa.com/api/v3/picture/flags-sq-2/MDV
"Mali",https://api.fifa.com/api/v3/picture/flags-sq-2/MLI
"Malta",https://api.fifa.com/api/v3/picture/flags-sq-2/MLT
"Mauritania",https://api.fifa.com/api/v3/picture/flags-sq-2/MTN
"Mauritius",https://api.fifa.com/api/v3/picture/flags-sq-2/MRI
"Mexico",https://api.fifa.com/api/v3/picture/flags-sq-2/MEX
"Moldova",https://api.fifa.com/api/v3/picture/flags-sq-2/MDA
"Mongolia",https://api.fifa.com/api/v3/picture/flags-sq-2/MNG
"Montenegro",https://api.fifa.com/api/v3/picture/flags-sq-2/MNE
"Montserrat",https://api.fifa.com/api/v3/picture/flags-sq-2/MSR
"Morocco",https://api.fifa.com/api/v3/picture/flags-sq-2/MAR
"Mozambique",https://api.fifa.com/api/v3/picture/flags-sq-2/MOZ
"Myanmar",https://api.fifa.com/api/v3/picture/flags-sq-2/MYA
"Namibia",https://api.fifa.com/api/v3/picture/flags-sq-2/NAM
"Nepal",https://api.fifa.com/api/v3/picture/flags-sq-2/NEP
