date,stage,path,round,home_team,away_team,neutral,home_source,away_source,winner_slot,stadium,city,country
2026-03-26,Inter-confederation Playoff,IC Path 1,semi,New Caledonia,Jamaica,True,,,,Guadalajara Stadium,Guadalajara,Mexico
2026-03-26,Inter-confederation Playoff,IC Path 2,semi,Bolivia,Suriname,True,,,,Monterrey Stadium,Monterrey,Mexico
2026-03-26,UEFA Playoff,UEFA Path A,semi1,Wales,Bosnia and Herzegovina,False,,,,Cardiff City Stadium,Cardiff,Wales
2026-03-26,UEFA Playoff,UEFA Path A,semi2,Italy,Northern Ireland,False,,,,Stadio di Bergamo,Bergamo,Italy
2026-03-26,UEFA Playoff,UEFA Path B,semi1,Ukraine,Sweden,True,,,,Estadi Ciutat de València,Valencia,Spain
2026-03-26,UEFA Playoff,UEFA Path B,semi2,Poland,Albania,False,,,,PGE Narodowy,Warsaw,Poland
2026-03-26,UEFA Playoff,UEFA Path C,semi1,Slovakia,Kosovo,False,,,,Národný futbalový štadión,Bratislava,Slovakia
2026-03-26,UEFA Playoff,UEFA Path C,semi2,Turkey,Romania,False,,,,Beşiktaş Park,Istanbul,Turkey
2026-03-26,UEFA Playoff,UEFA Path D,semi1,Czechia,Ireland,False,,,,Fortuna Arena,Prague,Czechia
2026-03-26,UEFA Playoff,UEFA Path D,semi2,Denmark,North Macedonia,False,,,,Parken,Copenhagen,Denmark
2026-03-31,Inter-confederation Playoff,IC Path 1,final,DR Congo,,True,,semi,IC Path 1 winner,Guadalajara Stadium,Guadalajara,Mexico
2026-03-31,Inter-confederation Playoff,IC Path 2,final,Iraq,,True,,semi,IC Path 2 winner,Monterrey Stadium,Monterrey,Mexico
2026-03-31,UEFA Playoff,UEFA Path A,final,,,False,semi1,semi2,UEFA Path A winner,,,
2026-03-31,UEFA Playoff,UEFA Path B,final,,,False,semi1,semi2,UEFA Path B winner,,,
2026-03-31,UEFA Playoff,UEFA Path C,final,,,False,semi1,semi2,UEFA Path C winner,,,
2026-03-31,UEFA Playoff,UEFA Path D,final,,,False,semi1,semi2,UEFA Path D winner,,,
