,stage,day,home_team,away_team,home_score,away_score,is_neutral,date,stadium,city,country,group,home_score_90,away_score_90,home_score_120,away_score_120,went_extra_time,went_penalties,penalty_winner,winner
0,Interconfed Playoff semi,-77,New Caledonia,Jamaica,0,2,True,2026-03-26,,,,,0,2,,,False,False,,Jamaica
1,Interconfed Playoff final,-72,DR Congo,Jamaica,0,2,True,2026-03-31,,,,,0,2,,,False,False,,Jamaica
2,Interconfed Playoff semi,-77,Bolivia,Suriname,5,1,True,2026-03-26,,,,,5,1,,,False,False,,Bolivia
3,Interconfed Playoff final,-72,Iraq,Bolivia,0,1,True,2026-03-31,,,,,0,1,,,False,False,,Bolivia
4,UEFA Playoff semi1,-77,Wales,Bosnia and Herzegovina,4,0,False,2026-03-26,,,,,4,0,,,False,False,,Wales
5,UEFA Playoff semi2,-77,Italy,Northern Ireland,1,1,False,2026-03-26,,,,,1,1,1.0,1.0,True,True,Italy,Italy
6,UEFA Playoff final,-72,Wales,Italy,1,2,False,2026-03-31,,,,,1,2,,,False,False,,Italy
7,UEFA Playoff semi1,-77,Ukraine,Sweden,0,3,False,2026-03-26,,,,,0,3,,,False,False,,Sweden
8,UEFA Playoff semi2,-77,Poland,Albania,2,1,False,2026-03-26,,,,,2,1,,,False,False,,Poland
9,UEFA Playoff final,-72,Sweden,Poland,0,3,False,2026-03-31,,,,,0,3,,,False,False,,Poland
10,UEFA Playoff semi1,-77,Slovakia,Kosovo,1,2,False,2026-03-26,,,,,1,1,1.0,2.0,True,False,,Kosovo
11,UEFA Playoff semi2,-77,Turkey,Romania,1,0,False,2026-03-26,,,,,1,0,,,False,False,,Turkey
12,UEFA Playoff final,-72,Kosovo,Turkey,1,4,False,2026-03-31,,,,,1,4,,,False,False,,Turkey
13,UEFA Playoff semi1,-77,Czechia,Ireland,2,2,False,2026-03-26,,,,,2,2,2.0,2.0,True,True,Ireland,Ireland
14,UEFA Playoff semi2,-77,Denmark,North Macedonia,2,0,False,2026-03-26,,,,,2,0,,,False,False,,Denmark
15,UEFA Playoff final,-72,Ireland,Denmark,1,1,False,2026-03-31,,,,,1,1,1.0,1.0,True,True,Denmark,Denmark
16,Group,0,Mexico,South Africa,1,0,False,2026-06-11,Estadio Azteca,Mexico City,Mexico,A,1,0,,,False,False,,Mexico
17,Group,0,South Korea,Denmark,1,1,True,2026-06-11,Estadio Akron,Zapopan,Mexico,A,1,1,,,False,False,,
