team,Qualify,Win Group,Reach R32,Reach R16,Reach QF,Reach SF,Reach Final,Champion
Spain,G,G,G,G,G,G,U,U
Argentina,G,G,G,G,G,U,U,U
England,G,G,G,G,G,G,U,U
Brazil,G,G,G,G,I,I,I,I
Portugal,G,I,G,G,I,I,I,I
France,G,G,G,G,G,G,U,U
Colombia,G,G,G,G,I,I,I,I
Netherlands,G,G,G,I,I,I,I,I
Germany,G,G,G,I,I,I,I,I
Belgium,G,G,G,G,G,I,I,I
Uruguay,G,I,I,I,I,I,I,I
Norway,G,I,G,G,G,I,I,I
Ecuador,G,I,G,I,I,I,I,I
Switzerland,G,G,G,G,G,U,U,U
Croatia,G,I,G,I,I,I,I,I
Denmark,U,U,U,U,U,U,U,U
Japan,G,I,G,I,I,I,I,I
Italy,U,U,U,U,U,U,U,U
Senegal,G,I,G,I,I,I,I,I
Morocco,G,I,G,G,G,I,I,I
Austria,G,I,G,I,I,I,I,I
Turkey,G,I,I,I,I,I,I,I
Mexico,G,G,G,G,I,I,I,I
Paraguay,G,I,G,G,I,I,I,I
Canada,G,I,G,G,I,I,I,I
Australia,G,I,G,I,I,I,I,I
Ukraine,U,U,U,U,U,U,U,U
South Korea,G,I,I,I,I,I,I,I
USA,G,G,G,G,I,I,I,I
Scotland,G,I,I,I,I,I,I,I
Sweden,G,I,G,I,I,I,I,I
Iran,G,I,I,I,I,I,I,I
Wales,U,U,U,U,U,U,U,U
Poland,U,U,U,U,U,U,U,U
Algeria,G,I,G,I,I,I,I,I
Czechia,G,I,I,I,I,I,I,I
Tunisia,G,I,I,I,I,I,I,I
Ivory Coast,G,I,G,I,I,I,I,I
Egypt,G,I,G,G,I,I,I,I
Romania,U,U,U,U,U,U,U,U
Slovakia,U,U,U,U,U,U,U,U
Ireland,U,U,U,U,U,U,U,U
DR Congo,G,I,G,I,I,I,I,I
Uzbekistan,G,I,I,I,I,I,I,I
Panama,G,I,I,I,I,I,I,I
Kosovo,U,U,U,U,U,U,U,U
Albania,U,U,U,U,U,U,U,U
Jordan,G,I,I,I,I,I,I,I
Northern Ireland,U,U,U,U,U,U,U,U
Ghana,G,I,G,I,I,I,I,I
South Africa,G,I,G,I,I,I,I,I
Bolivia,U,U,U,U,U,U,U,U
New Zealand,G,I,I,I,I,I,I,I
North Macedonia,U,U,U,U,U,U,U,U
Bosnia and Herzegovina,G,I,G,I,I,I,I,I
Saudi Arabia,G,I,I,I,I,I,I,I
Cape Verde,G,I,G,I,I,I,I,I
Iraq,G,I,I,I,I,I,I,I
Haiti,G,I,I,I,I,I,I,I
Jamaica,U,U,U,U,U,U,U,U
Qatar,G,I,I,I,I,I,I,I
Suriname,U,U,U,U,U,U,U,U
Curacao,G,I,I,I,I,I,I,I
New Caledonia,U,U,U,U,U,U,U,U
