team,wins,probability
Spain,1965,0.1965
Argentina,1523,0.1523
England,1007,0.1007
Brazil,900,0.0900
Portugal,764,0.0764
France,717,0.0717
Colombia,681,0.0681
Netherlands,387,0.0387
Germany,363,0.0363
Belgium,249,0.0249
Uruguay,185,0.0185
Norway,155,0.0155
Ecuador,150,0.0150
Switzerland,126,0.0126
Croatia,124,0.0124
Japan,104,0.0104
USA,95,0.0095
Denmark,82,0.0082
Italy,72,0.0072
Senegal,69,0.0069
Morocco,63,0.0063
Mexico,47,0.0047
Canada,29,0.0029
Austria,29,0.0029
Paraguay,24,0.0024
South Korea,19,0.0019
Australia,16,0.0016
Turkey,15,0.0015
Scotland,12,0.0012
Iran,7,0.0007
Egypt,4,0.0004
Ukraine,3,0.0003
Sweden,3,0.0003
Tunisia,2,0.0002
DR Congo,1,0.0001
Czechia,1,0.0001
Saudi Arabia,1,0.0001
Wales,1,0.0001
Algeria,1,0.0001
Poland,1,0.0001
Ivory Coast,1,0.0001
South Africa,1,0.0001
Jordan,1,0.0001
