team,mu_attack,mu_defense,sigma_attack,sigma_defense,sigma_ad,mu_global,quality,quality_low,mu_attack_low,mu_defense_low,year,rating_attack,rating_defense,rating
Afghanistan,-1.8515230714753845,-1.7241338338406236,0.02852361944932442,0.023716467510239904,0.012818958662913781,0.2604579754306582,-3.5756569053160083,-4.1337895214043066,-2.1893018123654793,-2.0321368696064415,2026.0,17.812026497048528,21.190835005505193,19.444246863933568
Albania,-0.765014390043508,-0.47249511815718404,0.01995504436837429,0.019430259764284023,0.009856767864860104,0.2604579754306582,-1.237509508200692,-1.723714567254497,-1.0475390393636994,-0.7512800514967318,2026.0,60.84338702032335,75.19778367530222,68.14394297266728
Algeria,-0.3440128603569266,-0.427990473925955,0.013214102678313001,0.019406366413892442,0.007548587048531774,0.2604579754306582,-0.7720033342828816,-1.2088907027854237,-0.5739180815095833,-0.7066039439082403,2026.0,80.96053281213398,77.2509561659412,79.13497138287784
American Samoa,-3.452884778563136,-3.683761306797581,0.06635740690377646,0.029910315947052235,0.019210604108844592,0.2604579754306582,-7.1366460853607165,-7.87064589753649,-3.9680834078461587,-4.029653289630675,2026.0,1.2849124447392168,0.835370791928558,1.0373598406048123
Andorra,-1.8632089730090697,-1.1519996822355236,0.031060631441745017,0.016694192558620275,0.010364319175868787,0.2604579754306582,-3.015208655244593,-3.538595557457871,-2.215689505474311,-1.4104116986637096,2026.0,17.524706655573862,42.21206275024212,28.01839861356691
Angola,-1.0056190492722927,-0.7065365690974295,0.019842866571081738,0.021000151612521483,0.010119270719962737,0.2604579754306582,-1.7121556183697222,-2.206449294734406,-1.2873484696108988,-0.9963651502451243,2026.0,48.99042952813842,63.773907232100655,56.293775202890096
Anguilla,-2.875440434308683,-2.72101350733163,0.04305973936944318,0.018973842221723,0.010448180799490284,0.2604579754306582,-5.596453941640313,-6.17240513120466,-3.2904572502062712,-2.9965046485447226,2026.0,3.592245384291892,4.666024237439537,4.097244032496028
Antigua and Barbuda,-1.9116552777186526,-2.1281276865785603,0.024173480838042657,0.020769755907425597,0.010510489676833035,0.2604579754306582,-4.039782964297213,-4.553452959913598,-2.2226117430834536,-2.416362007279101,2026.0,16.372811016008914,11.953852112116826,14.019991152001642
Argentina,0.17301446802328313,0.3526585235545853,0.015637471227631674,0.022185749790788255,0.009851206911478958,0.2604579754306582,0.5256729915778684,0.045982946480504105,-0.07708528189767677,0.054760891534535505,2026.0,96.6520909838775,98.82746753721261,97.92921949521556
Armenia,-0.9100918911234248,-1.2284303885731482,0.020970808013621493,0.016352194942326273,0.009174221579572404,0.2604579754306582,-2.138522279696573,-2.6104182263419857,-1.199717912147928,-1.4841817908553354,2026.0,53.62332155522973,38.867592348370636,45.98876042710977
