team,Qualify,Win Group,Reach R32,Reach R16,Reach QF,Reach SF,Reach Final,Champion
Algeria,1.000000,0.070800,0.599000,0.157200,0.054400,0.016500,0.004800,0.000900
Argentina,1.000000,0.779100,0.985700,0.664300,0.521300,0.361400,0.238400,0.150200
Australia,1.000000,0.176000,0.601100,0.291800,0.099400,0.027200,0.008600,0.002700
Austria,1.000000,0.127100,0.756200,0.234300,0.095100,0.037800,0.014200,0.002700
Belgium,1.000000,0.652300,0.959300,0.684900,0.401300,0.159900,0.079500,0.033600
Bosnia and Herzegovina,1.000000,0.051300,0.537200,0.137900,0.022900,0.002500,0.000300,0.000100
Brazil,1.000000,0.635000,0.977000,0.688800,0.473300,0.299400,0.165200,0.094300
Cape Verde,1.000000,0.007200,0.241600,0.037000,0.006300,0.000800,0.000200,0.000000
Canada,1.000000,0.429100,0.955500,0.559000,0.208000,0.055500,0.017000,0.004200
Colombia,1.000000,0.434700,0.951300,0.670800,0.398600,0.226900,0.129700,0.067100
DR Congo,1.000000,0.023200,0.333600,0.071200,0.017500,0.003500,0.001200,0.000100
Ivory Coast,1.000000,0.070200,0.679200,0.205300,0.053800,0.012800,0.002300,0.000800
Croatia,1.000000,0.257600,0.894800,0.422100,0.187600,0.086000,0.035400,0.014300
Curacao,1.000000,0.002900,0.085800,0.009000,0.001100,0.000100,0.000000,0.000000
Czechia,1.000000,0.170300,0.684400,0.285500,0.089400,0.020900,0.004100,0.000900
Ecuador,1.000000,0.344400,0.950400,0.520100,0.242900,0.118600,0.047900,0.019300
Egypt,1.000000,0.112600,0.612000,0.216900,0.050800,0.009000,0.001800,0.000400
England,1.000000,0.687800,0.982500,0.705600,0.465100,0.285200,0.161300,0.090000
France,1.000000,0.558900,0.956200,0.688800,0.428800,0.271500,0.144400,0.071700
Germany,1.000000,0.582500,0.984100,0.644700,0.339600,0.194900,0.091400,0.043000
Ghana,1.000000,0.024900,0.328200,0.049100,0.009700,0.002000,0.000300,0.000000
Haiti,1.000000,0.008300,0.153500,0.021200,0.004100,0.000300,0.000000,0.000000
Iran,1.000000,0.192400,0.752300,0.330800,0.097400,0.027100,0.007100,0.001800
Iraq,1.000000,0.014000,0.165200,0.028300,0.004400,0.000600,0.000100,0.000000
Japan,1.000000,0.314700,0.825500,0.349000,0.189300,0.088200,0.034800,0.013000
Jordan,1.000000,0.023000,0.303900,0.052900,0.012700,0.002400,0.000300,0.000000
South Korea,1.000000,0.205600,0.732100,0.333400,0.112100,0.030500,0.007300,0.002000
Mexico,1.000000,0.573300,0.940200,0.584500,0.265400,0.094600,0.027800,0.009500
Morocco,1.000000,0.256200,0.891600,0.464200,0.262300,0.125700,0.053400,0.019600
Netherlands,1.000000,0.510600,0.918600,0.480700,0.311100,0.160000,0.073200,0.032800
New Zealand,1.000000,0.042700,0.352300,0.079700,0.013100,0.001800,0.000400,0.000000
Norway,1.000000,0.292100,0.881000,0.504700,0.248600,0.118900,0.045000,0.017400
Panama,1.000000,0.029700,0.412500,0.069300,0.013500,0.001600,0.000200,0.000100
Paraguay,1.000000,0.228800,0.675600,0.352800,0.138400,0.045900,0.016200,0.005200
Portugal,1.000000,0.516800,0.964100,0.705700,0.432700,0.251900,0.143600,0.079300
Qatar,1.000000,0.011500,0.195700,0.028200,0.002200,0.000100,0.000000,0.000000
Saudi Arabia,1.000000,0.008700,0.297100,0.049500,0.007700,0.001300,0.000000,0.000000
Scotland,1.000000,0.100500,0.694200,0.241500,0.091700,0.029400,0.006100,0.001600
Senegal,1.000000,0.135000,0.725000,0.301900,0.122400,0.046800,0.014900,0.004800
South Africa,1.000000,0.050800,0.359700,0.096500,0.020600,0.002900,0.000600,0.000100
Spain,1.000000,0.747800,0.994700,0.736000,0.520100,0.389100,0.265800,0.161100
Sweden,1.000000,0.118900,0.587200,0.158700,0.061000,0.020500,0.006500,0.002400
Switzerland,1.000000,0.508100,0.972000,0.654100,0.280000,0.111800,0.041600,0.015100
Tunisia,1.000000,0.055800,0.384200,0.083600,0.023100,0.006000,0.000900,0.000300
Turkey,1.000000,0.267100,0.700800,0.382900,0.147800,0.045800,0.015300,0.004500
Uruguay,1.000000,0.236300,0.941400,0.424600,0.240100,0.128400,0.061100,0.022900
USA,1.000000,0.328100,0.776700,0.464900,0.194200,0.072100,0.028800,0.010100
Uzbekistan,1.000000,0.025300,0.347800,0.076100,0.017100,0.003900,0.001000,0.000100
