team,fifa_rank,fifa_points
Afghanistan,162.0,991.19
Albania,63.0,1401.07
Algeria,34.0,1517.68
American Samoa,184.0,883.17
Andorra,172.0,949.44
Angola,89.0,1271.54
Anguilla,209.0,759.78
Antigua and Barbuda,165.0,986.58
Argentina,2.0,1873.33
Armenia,106.0,1196.08
Aruba,191.0,867.94
Australia,26.0,1574.01
Austria,24.0,1585.51
Azerbaijan,127.0,1132.97
Bahamas,206.0,796.6
Bahrain,90.0,1258.53
Bangladesh,180.0,911.1
Barbados,178.0,914.42
Belarus,99.0,1227.09
Belgium,8.0,1730.71
Belize,181.0,910.74
Benin,92.0,1255.72
Bermuda,169.0,976.87
Bhutan,192.0,867.86
Bolivia,76.0,1329.56
Bosnia and Herzegovina,71.0,1362.37
Botswana,138.0,1084.56
Brazil,5.0,1760.46
British Virgin Islands,208.0,776.54
Brunei,188.0,875.78
Bulgaria,88.0,1272.19
Burkina Faso,62.0,1404.81
Burundi,145.0,1060.22
Cape Verde,67.0,1370.49
Cambodia,179.0,911.54
Cameroon,57.0,1440.43
Canada,27.0,1559.15
Cayman Islands,195.0,851.74
Central African Republic,139.0,1083.57
Chad,177.0,914.65
Chile,52.0,1457.84
China,93.0,1249.06
Taiwan,174.0,938.21
Colombia,13.0,1701.3
Comoros,109.0,1186.41
Congo,134.0,1105.96
DR Congo,56.0,1444.16
Cook Islands,186.0,877.53
Costa Rica,49.0,1464.24
Ivory Coast,42.0,1489.59
Croatia,10.0,1716.88
Cuba,166.0,980.49
Curacao,82.0,1302.7
Cyprus,128.0,1128.5
Czechia,44.0,1487.0
Denmark,21.0,1616.75
Djibouti,196.0,847.03
Dominica,183.0,901.37
Dominican Republic,143.0,1077.49
Ecuador,23.0,1591.73
Egypt,35.0,1515.18
El Salvador,100.0,1226.65
England,4.0,1834.12
Equatorial Guinea,97.0,1229.09
Eritrea,,
Estonia,130.0,1123.11
Eswatini,159.0,1010.52
Ethiopia,147.0,1055.36
Faroe Islands,125.0,1135.42
Fiji,155.0,1029.7
Finland,75.0,1341.81
France,3.0,1870.0
Gabon,78.0,1321.25
Georgia,73.0,1347.88
Germany,9.0,1724.15
Ghana,72.0,1351.09
Gibraltar,202.0,818.03
Greece,46.0,1480.38
Grenada,164.0,989.59
Guam,201.0,823.08
Guatemala,94.0,1245.77
Guinea,81.0,1307.05
Guinea-Bissau,133.0,1108.09
Guyana,151.0,1041.9
Haiti,84.0,1294.49
Honduras,65.0,1379.54
Hong Kong,153.0,1038.14
Hungary,40.0,1496.29
Iceland,74.0,1344.72
India,142.0,1079.52
Indonesia,122.0,1144.73
Iran,20.0,1617.02
Iraq,58.0,1436.94
Israel,77.0,1328.14
Italy,12.0,1702.06
Jamaica,70.0,1362.46
Japan,18.0,1650.12
Jordan,64.0,1388.93
Kazakhstan,114.0,1173.0
Kenya,113.0,1179.54
North Korea,119.0,1151.05
South Korea,22.0,1599.45
Kosovo,80.0,1308.84
Kuwait,135.0,1105.1
Kyrgyzstan,104.0,1201.22
Laos,190.0,871.16
Latvia,140.0,1082.68
Lebanon,108.0,1187.96
Lesotho,144.0,1065.97
Liberia,141.0,1081.46
Libya,111.0,1183.06
Liechtenstein,205.0,799.8
Lithuania,146.0,1056.34
Luxembourg,103.0,1218.91
Macau,193.0,865.29
Madagascar,105.0,1198.87
Malawi,126.0,1133.75
Malaysia,121.0,1145.89
Maldives,173.0,945.02
Mali,53.0,1455.03
Malta,161.0,996.59
Mauritania,115.0,1171.35
Mauritius,176.0,915.51
Mexico,15.0,1675.75
Moldova,158.0,1012.64
Mongolia,185.0,879.75
Montenegro,83.0,1297.09
Montserrat,175.0,916.75
Morocco,11.0,1716.34
Mozambique,102.0,1223.48
Myanmar,163.0,990.81
Namibia,118.0,1153.22
Nepal,182.0,902.52
Netherlands,7.0,1756.27
New Caledonia,150.0,1042.62
New Zealand,87.0,1279.25
Nicaragua,132.0,1116.86
Niger,110.0,1185.09
Nigeria,38.0,1502.46
North Macedonia,66.0,1378.57
Northern Ireland,69.0,1366.02
Norway,29.0,1553.14
Oman,79.0,1313.46
Pakistan,199.0,833.16
Palestine,95.0,1244.73
Panama,30.0,1540.43
Papua New Guinea,170.0,974.9
Paraguay,39.0,1501.5
Peru,51.0,1459.57
Philippines,136.0,1090.95
Poland,31.0,1532.04
Portugal,6.0,1760.38
Puerto Rico,156.0,1020.07
Qatar,54.0,1454.96
Ireland,59.0,1436.04
Romania,47.0,1465.78
Russia,33.0,1524.52
Rwanda,131.0,1117.78
Samoa,187.0,876.41
San Marino,210.0,726.03
Sao Tome and Principe,189.0,871.63
