team,odds
Spain,6
England,7
France,9.2
Brazil,9.6
Argentina,9.8
Portugal,13.5
Germany,15
Netherlands,28
Norway,32
Italy,46
Belgium,50
Colombia,60
USA,75
Mexico,110
Morocco,80
Switzerland,140
Ecuador,95
Uruguay,110
Japan,110
Senegal,140
Croatia,130
Denmark,180
Austria,230
Turkey,210
Scotland,230
Paraguay,340
Canada,350
Sweden,370
Egypt,500
Australia,660
Iran,910
Republic of Ireland,400
Algeria,690
South Korea,450
Wales,620
Poland,850
Ghana,610
Ivory Coast,560
Tunisia,1000
Jordan,1000
Uzbekistan,1000
New Zealand,1000
Northern Ireland,1000
Qatar,1000
Romania,1000
Saudi Arabia,1000
Ukraine,1000
Cape Verde,1000
South Africa,820
Albania,1000
Bolivia,1000
Curacao,1000
Czechia,1000
DR Congo,1000
Haiti,1000
Iraq,1000
Jamaica,1000
Kosovo,1000
North Macedonia,1000
Panama,1000
Slovakia,1000
Suriname,1000
Bosnia,1000
New Caledonia,1000
