team,confederation,start_year,end_year
Afghanistan,AFC,,
Albania,UEFA,,
Algeria,CAF,,
American Samoa,OFC,,
Andorra,UEFA,,
Angola,CAF,,
Anguilla,CONCACAF,,
Antigua and Barbuda,CONCACAF,,
Argentina,CONMEBOL,,
Armenia,UEFA,,
Aruba,CONCACAF,,
Australia,OFC,,2006
Australia,AFC,2006,
Austria,UEFA,,
Azerbaijan,UEFA,,
Bahamas,CONCACAF,,
Bahrain,AFC,,
Bangladesh,AFC,,
Barbados,CONCACAF,,
Belarus,UEFA,,
Belgium,UEFA,,
Belize,CONCACAF,,
Benin,CAF,,
Bermuda,CONCACAF,,
Bhutan,AFC,,
Bolivia,CONMEBOL,,
Bosnia and Herzegovina,UEFA,,
Botswana,CAF,,
Brazil,CONMEBOL,,
British Virgin Islands,CONCACAF,,
Brunei,AFC,,
Bulgaria,UEFA,,
Burkina Faso,CAF,,
Burundi,CAF,,
Cape Verde,CAF,,
Cambodia,AFC,,
Cameroon,CAF,,
Canada,CONCACAF,,
Cayman Islands,CONCACAF,,
Central African Republic,CAF,,
Chad,CAF,,
Chile,CONMEBOL,,
China,AFC,,
Taiwan,AFC,,
Colombia,CONMEBOL,,
Comoros,CAF,,
Congo,CAF,,
DR Congo,CAF,,
Cook Islands,OFC,,
Costa Rica,CONCACAF,,
Ivory Coast,CAF,,
Croatia,UEFA,,
Cuba,CONCACAF,,
Curacao,CONCACAF,,
Cyprus,UEFA,,
Czechia,UEFA,,
Denmark,UEFA,,
Djibouti,CAF,,
Dominica,CONCACAF,,
Dominican Republic,CONCACAF,,
Ecuador,CONMEBOL,,
Egypt,CAF,,
El Salvador,CONCACAF,,
England,UEFA,,
Equatorial Guinea,CAF,,
Eritrea,CAF,,
Estonia,UEFA,,
Eswatini,CAF,,
Ethiopia,CAF,,
Faroe Islands,UEFA,,
Fiji,OFC,,
Finland,UEFA,,
France,UEFA,,
Gabon,CAF,,
Georgia,UEFA,,
Germany,UEFA,,
Ghana,CAF,,
Gibraltar,UEFA,,
Greece,UEFA,,
Grenada,CONCACAF,,
Guam,AFC,,
Guatemala,CONCACAF,,
Guinea,CAF,,
Guinea-Bissau,CAF,,
Guyana,CONCACAF,,
Haiti,CONCACAF,,
Honduras,CONCACAF,,
Hong Kong,AFC,,
Hungary,UEFA,,
Iceland,UEFA,,
India,AFC,,
Indonesia,AFC,,
Iran,AFC,,
Iraq,AFC,,
Israel,AFC,,1974
Israel,NA,1975,1993
Israel,UEFA,1994,
Italy,UEFA,,
Jamaica,CONCACAF,,
Japan,AFC,,
Jordan,AFC,,
Kazakhstan,AFC,,2002
Kazakhstan,UEFA,2002,
Kenya,CAF,,
North Korea,AFC,,
South Korea,AFC,,
Kosovo,UEFA,,
Kuwait,AFC,,
Kyrgyzstan,AFC,,
Laos,AFC,,
Latvia,UEFA,,
Lebanon,AFC,,
Lesotho,CAF,,
Liberia,CAF,,
Libya,CAF,,
Liechtenstein,UEFA,,
Lithuania,UEFA,,
Luxembourg,UEFA,,
Macau,AFC,,
Madagascar,CAF,,
Malawi,CAF,,
Malaysia,AFC,,
Maldives,AFC,,
Mali,CAF,,
Malta,UEFA,,
Mauritania,CAF,,
Mauritius,CAF,,
Mexico,CONCACAF,,
Moldova,UEFA,,
Mongolia,AFC,,
Montenegro,UEFA,,
Montserrat,CONCACAF,,
Morocco,CAF,,
Mozambique,CAF,,
Myanmar,AFC,,
Namibia,CAF,,
Nepal,AFC,,
Netherlands,UEFA,,
New Caledonia,OFC,,
New Zealand,OFC,,
Nicaragua,CONCACAF,,
Niger,CAF,,
Nigeria,CAF,,
North Macedonia,UEFA,,
Northern Ireland,UEFA,,
Norway,UEFA,,
Oman,AFC,,
Pakistan,AFC,,
Palestine,AFC,,
Panama,CONCACAF,,
Papua New Guinea,OFC,,
Paraguay,CONMEBOL,,
Peru,CONMEBOL,,
Philippines,AFC,,
Poland,UEFA,,
Portugal,UEFA,,
Puerto Rico,CONCACAF,,
Qatar,AFC,,
Ireland,UEFA,,
Romania,UEFA,,
Russia,AFC,,1954
Russia,UEFA,1954,
Rwanda,CAF,,
Samoa,OFC,,
San Marino,UEFA,,
Sao Tome and Principe,CAF,,
Saudi Arabia,AFC,,
Scotland,UEFA,,
Senegal,CAF,,
Serbia,UEFA,,
Seychelles,CAF,,
Sierra Leone,CAF,,
Singapore,AFC,,
Slovakia,UEFA,,
Slovenia,UEFA,,
Solomon Islands,OFC,,
Somalia,CAF,,
South Africa,CAF,,
South Sudan,CAF,,
Spain,UEFA,,
Sri Lanka,AFC,,
St Kitts and Nevis,CONCACAF,,
St Lucia,CONCACAF,,
St Vincent and the Grenadines,CONCACAF,,
Sudan,CAF,,
Suriname,CONCACAF,,
Sweden,UEFA,,
Switzerland,UEFA,,
Syria,AFC,,
Tahiti,OFC,,
Tajikistan,AFC,,
Tanzania,CAF,,
Thailand,AFC,,
Gambia,CAF,,
Timor-Leste,AFC,,
Togo,CAF,,
Tonga,OFC,,
Trinidad and Tobago,CONCACAF,,
Tunisia,CAF,,
Turkey,UEFA,,
Turkmenistan,AFC,,
Turks and Caicos Islands,CONCACAF,,
Uganda,CAF,,
Ukraine,UEFA,,
United Arab Emirates,AFC,,
Uruguay,CONMEBOL,,
US Virgin Islands,CONCACAF,,
USA,CONCACAF,,
Uzbekistan,AFC,,
Vanuatu,OFC,,
Venezuela,CONMEBOL,,
Vietnam,AFC,,
Wales,UEFA,,
Yemen,AFC,,
Zambia,CAF,,
Zimbabwe,CAF,,
Czechoslovakia,UEFA,,
East Germany,UEFA,,
Saarland,UEFA,,
Yugoslavia,UEFA,,
Martinique,CONCACAF,,
Guadeloupe,CONCACAF,,
French Guiana,CONCACAF,,
Bonaire,CONCACAF,,
Sint Maarten,CONCACAF,,
Northern Mariana Islands,AFC,,
