match_id,date,home_team,away_team,stadium,city,country,group
1,2026-06-11,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,A
2,2026-06-11,South Korea,Czechia,Estadio Akron,Zapopan,Mexico,A
3,2026-06-12,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,B
4,2026-06-12,USA,Paraguay,SoFi Stadium,Inglewood,USA,D
5,2026-06-13,Haiti,Scotland,Gillette Stadium,Foxborough,USA,C
6,2026-06-13,Australia,Turkey,BC Place,Vancouver,Canada,D
7,2026-06-13,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,C
8,2026-06-13,Qatar,Switzerland,Levi's Stadium,Santa Clara,USA,B
9,2026-06-14,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,E
10,2026-06-14,Germany,Curacao,NRG Stadium,Houston,USA,E
11,2026-06-14,Netherlands,Japan,AT&T Stadium,Arlington,USA,F
12,2026-06-14,Sweden,Tunisia,Estadio BBVA,Guadalupe,Mexico,F
13,2026-06-15,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens,USA,H
14,2026-06-15,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,USA,H
15,2026-06-15,Iran,New Zealand,SoFi Stadium,Inglewood,USA,G
16,2026-06-15,Belgium,Egypt,Lumen Field,Seattle,USA,G
17,2026-06-16,France,Senegal,MetLife Stadium,East Rutherford,USA,I
18,2026-06-16,Iraq,Norway,Gillette Stadium,Foxborough,USA,I
19,2026-06-16,Argentina,Algeria,Arrowhead Stadium,Kansas City,USA,J
20,2026-06-16,Austria,Jordan,Levi's Stadium,Santa Clara,USA,J
21,2026-06-17,Ghana,Panama,BMO Field,Toronto,Canada,L
22,2026-06-17,England,Croatia,AT&T Stadium,Arlington,USA,L
23,2026-06-17,Portugal,DR Congo,NRG Stadium,Houston,USA,K
24,2026-06-17,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,K
25,2026-06-18,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,USA,A
